Account Open Date Week,Count of Account ID
2026-05-04,10
2026-04-27,257
2026-04-20,237
2026-04-13,270
2026-04-06,350
2026-03-30,285
2026-03-23,14
2026-03-16,4
2026-03-09,43
2026-03-02,
2026-02-23,
2026-02-16,1
